id,file_name,label,source,modality
1,safe_00001.jpg,safe,coco,image
2,safe_00002.jpg,safe,coco,image
3,safe_00003.jpg,safe,coco,image
4,safe_00004.jpg,safe,coco,image
5,safe_00005.jpg,safe,coco,image
6,safe_00006.jpg,safe,coco,image
7,safe_00007.jpg,safe,coco,image
8,safe_00008.jpg,safe,coco,image
9,safe_00009.jpg,safe,coco,image
10,safe_00010.jpg,safe,coco,image
11,safe_00011.jpg,safe,coco,image
12,safe_00012.jpg,safe,coco,image
13,safe_00013.jpg,safe,coco,image
14,safe_00014.jpg,safe,coco,image
15,safe_00015.jpg,safe,coco,image
16,safe_00016.jpg,safe,coco,image
17,safe_00017.jpg,safe,coco,image
18,safe_00018.jpg,safe,coco,image
19,safe_00019.jpg,safe,coco,image
20,safe_00020.jpg,safe,coco,image
21,safe_00021.jpg,safe,coco,image
22,safe_00022.jpg,safe,coco,image
23,safe_00023.jpg,safe,coco,image
24,safe_00024.jpg,safe,coco,image
25,safe_00025.jpg,safe,coco,image
26,safe_00026.jpg,safe,coco,image
27,safe_00027.jpg,safe,coco,image
28,safe_00028.jpg,safe,coco,image
29,safe_00029.jpg,safe,coco,image
30,safe_00030.jpg,safe,coco,image
31,safe_00031.jpg,safe,coco,image
32,safe_00032.jpg,safe,coco,image
33,safe_00033.jpg,safe,coco,image
34,safe_00034.jpg,safe,coco,image
35,safe_00035.jpg,safe,coco,image
36,safe_00036.jpg,safe,coco,image
37,safe_00037.jpg,safe,coco,image
38,safe_00038.jpg,safe,coco,image
39,safe_00039.jpg,safe,coco,image
40,safe_00040.jpg,safe,coco,image
41,safe_00041.jpg,safe,coco,image
42,safe_00042.jpg,safe,coco,image
43,safe_00043.jpg,safe,coco,image
44,safe_00044.jpg,safe,coco,image
45,safe_00045.jpg,safe,coco,image
46,safe_00046.jpg,safe,coco,image
47,safe_00047.jpg,safe,coco,image
48,safe_00048.jpg,safe,coco,image
49,safe_00049.jpg,safe,coco,image
50,safe_00050.jpg,safe,coco,image
51,safe_00051.jpg,safe,coco,image
52,safe_00052.jpg,safe,coco,image
53,safe_00053.jpg,safe,coco,image
54,safe_00054.jpg,safe,coco,image
55,safe_00055.jpg,safe,coco,image
56,safe_00056.jpg,safe,coco,image
57,safe_00057.jpg,safe,coco,image
58,safe_00058.jpg,safe,coco,image
59,safe_00059.jpg,safe,coco,image
60,safe_00060.jpg,safe,coco,image
61,safe_00061.jpg,safe,coco,image
62,safe_00062.jpg,safe,coco,image
63,safe_00063.jpg,safe,coco,image
64,safe_00064.jpg,safe,coco,image
65,safe_00065.jpg,safe,coco,image
66,safe_00066.jpg,safe,coco,image
67,safe_00067.jpg,safe,coco,image
68,safe_00068.jpg,safe,coco,image
69,safe_00069.jpg,safe,coco,image
70,safe_00070.jpg,safe,coco,image
